"ID","Question text","Exam","Answer1","BoolAnswer1","Explanation1","Answer2","BoolAnswer2","Explanation2","Answer3","BoolAnswer3","Explanation3","Answer4","BoolAnswer4","Explanation4"
"0","\text{Which of the following Langauges are residual Languages of }L((bba)^*b)","Summer_24 Retake","\{b\}","False","","L(ba(bba)^∗b | ϵ)","True","","∅","True","","","",""
"1","\text{Let }L ⊆ Σ^∗ \text{ be a language with } LL = Σ^{*}. \text{ Which statements are true?}","Summer_24 Retake","\text{ L is infinite}","True","If L were finite, LL would also be finite","ε ∈ L","True","Since ε ∈ Σ∗, ε must also be in LL, so ε ∈ L","LLL = Σ*","True","It holds that LLL = Σ∗L ⊇ Σ∗ because ε ∈ L","","",""
"2","\text{Let }L ⊆ Σ^∗ \text{ be regular. Which of the following languages are regular? }","Summer_24 Retake","\{u^R v | u, v ∈ L\}","True","This is L^R L; closed under concatenation","\{u^R u | u ∈ L\}","False","Counterexample: L = Σ*","\{uv | u, v ∈ L ∧ |u| = |v|\}","False","Let L = (ba*). Then the language is { baⁿbaⁿ | n ∈ ℕ }, which is not regular.","","",""
"3","\text{ Which of the following context-free grammars are ambiguous?}","Summer_24 Retake","S → SS | a","True","'aaa' has two parse trees","S → Sa | Sb | ε","False","Terminals are generated right to left","S → TT; T → aT | bT | a | b","True","TODO","","",""
"4","\text{ Let }A ⊆ Σ^* \text{ be regular and } B⊆ Σ^* \text{ context-free. Which of the following languages are context-free?}","Summer_24 Retake","A ∪ B","False","Counterexample: A = ∅; B = { aⁿbⁿaⁿ | n ≥ 0 }","\overline{A ∪ B}","True","A is regular ⇒ context-free; union of context-free languages is closed","AB","True","A is context-free; concatenation is closed","","",""
"5","\text{ Let } L ⊆ Σ^∗ \text{ be a finite language with } |L| = |L^∗|.\text{ Which statements are true?}","Summer_24","\text{L is regular}","True","TODO","ε ∈ L","True","TODO","|L| = |LL|","True","TODO","","",""
"6","\text{ Let } L ⊆ Σ^∗\text{ and }L' := {w ∈ L : |w|² ≤ 10|w|}.\text{ Which statements are true?}","Summer_24","\text{L' is regular}","True","TODO","\text{L' is context-free}","True","TODO","\text{L' is deterministic context-free}","True","TODO","","",""
"7","\text{Let } L ⊆ Σ^∗ \text{ be regular and } k > 0.\text{ Which of the following languages are regular?}","Summer_24","{w ∈ L : |w| ≡ 0 (mod k)}","True","L ∩ (Σ^k)^* is regular; closed under intersection","{w₁...w_k : w₁,...,w_k ∈ L}","True","L^k; closed under concatenation","{w^k : w ∈ L}","False","For k = 2, known to be non-regular","","",""
"8","\text{ Let }L ⊆ Σ^∗ \text{ be context-free. Which of the following languages are context-free?}","Summer_24","L","True","Known from lecture (Theorem 4.32)","L ∪ L^R","True","Follows from closure properties","L ∩ L^R","False","Counterexample: L = {aⁿbⁿaᵐ} → not context-free","","",""
"9","\text{ Let G be the grammar with productions } S → aT, T → Sb. \text{ Which statements are true? }","Summer_24","\text{ G is right-linear }","False","T → Sb is not right-linear","\text{ G is context-free}","True","TODO","L(G) \text{is regular}","True","L(G) = ∅, hence regular","","",""
