"ID","Question text","Exam","Answer1","BoolAnswer1","Explanation1","Answer2","BoolAnswer2","Explanation2","Answer3","BoolAnswer3","Explanation3","Answer4","BoolAnswer4","Explanation4"
"0","\text{Which of the following Langauges are residual Languages of }L((bba)^*b)","Summer_24 retake","\{b\}","False",TODO,"L(ba(bba)^∗b | ϵ)","True",TODO,"∅","True",\emptyset \text{ is the residual Language of the trap-state of the minimal DFA. Since e.g a isn't accepted by L it is a residual Language.},"",""
"1","\text{Let }L ⊆ Σ^∗ \text{ be a language with } LL = Σ^{*}. \text{ Which statements are true?}","Summer_24 retake","\text{ L is infinite}","True","\text{ If L were finite, LL would also be finite}","ε ∈ L","True","\text{ Since }ε \in \Sigma^{∗}, ε \text{ must also be in LL}","LLL = Σ^*","True","\text{ It holds that }LLL = Σ^∗L ⊇ Σ^∗ \text{ because }ε ∈ L","",""
"2","\text{Let }L ⊆ Σ^∗ \text{ be regular. Which of the following languages are regular? }","Summer_24 retake","\{u^R v | u, v ∈ L\}","True",\text{ This is }L^R L; \text{ regular Languages are closed under concatenation},"\{u^R u | u ∈ L\}","False",\text{ Counterexample:} L = \Sigma^* \text{ Then L is the Language of palindromes, which isn't regular! }"\{uv | u, v ∈ L ∧ |u| = |v|\}","False","\text{ e.g Let L} = (ba*). \text{ Then the language is} \{ baⁿbaⁿ | n ∈ ℕ \}, \text{ which is not regular.}","",""
"3","\text{ Which of the following context-free grammars are ambiguous?}","Summer_24 retake","S → SS | a","True",\text{One counterexample: 'aaa' has two parse trees },"S → Sa | Sb | ε","False",\text{ Terminals are generated right to left },"S → TT; T → aT | bT | a | b","True",\text{One counterexample: 'aaa' has two parse trees },"","",""
"4","\text{ Let }A ⊆ Σ^* \text{ be regular and } B⊆ Σ^* \text{ context-free. Which of the following languages are context-free?}","Summer_24 retake",A ∪ \overline{B},"False",\overline B \text{ might not be context free so (context free Languages not closed under complement) so the whole expression might not be context free},\overline{A} ∪ B,"True",\text{ A is regular and so also context-free; union of context-free languages is closed},"AB","True",\text{ A is context-free; concatenation of contextfree Languages is closed},"","",""
"5","\text{ Let } L ⊆ Σ^∗ \text{ be a finite language with } |L| = |L^∗|.\text{ Which statements are true?}","Summer_24","\text{L is regular}","True","\text{Every finite Language is regular and L is finite.}","ε ∈ L","True","L^*\text{always contains }\epsilon \text{. So L also has contain at least one thing.If it is a Letter }x \in \Sigma, |L^*| \text{ is infinite, so it can only be that } L =\{ \epsilon \}","|L| = |LL|","True","L = \{\epsilon\} \text{ implies that both absolute values are 1}","","",""
"6","\text{ Let } L ⊆ Σ^∗\text{ and }L' := {w ∈ L : |w|² ≤ 10|w|}.\text{ Which statements are true?}","Summer_24","\text{L' is regular}","True","\text{L´ is finite since }|w| \leq 10 \text{since all finite languages are regular, L` is too}","\text{L' is context-free}","True","\text{since L´ is regular and every regular language is context free}","\text{L' is deterministic context-free}","True","\text{since L´ is regular and every regular language is deterministic context free}","","",""
"7","\text{Let } L ⊆ Σ^∗ \text{ be regular and } k > 0.\text{ Which of the following languages are regular?}","Summer_24",{w ∈ L : |w| ≡ 0 (mod \:k)},"True",L ∩ (Σ^k)^* \text{ is regular;regular languages are closed under intersection},"{w₁...w_k : w₁,...,w_k ∈ L}","True",= L^k; \text{ and regular languages are closed under concatenation},"{w^k : w ∈ L}","False","\text{ For }k = 2, \text{ known to be non-regular (Language of Palindromes)}","","",""
"8","\text{ Let }L ⊆ Σ^∗ \text{ be context-free. Which of the following languages are context-free?}","Summer_24",\overline{L},False,\text{ context free languages are not closed under complement},"L ∪ L^R","True","L^R \text{ is context free so }L ∪ L^R \text{is the Union of two context free languages, which is closed under Union}","L ∩ L^R","False",\text{ context free languages are not closed under intersection },"","",""
"9","\text{ Let G be the grammar with productions } S → aT, T → Sb. \text{ Which statements are true? }","Summer_24","\text{ G is right-linear }","False",\text{Production: T → Sb is not right-linear},"\text{ G is context-free}","True",\text{G does only have Variables on the left side of productions.},"L(G) \text{is regular}","True","L(G) = ∅, \text{ so regular}",L(G) \text{is context free},True,"L(G) = ∅, \text{ so contextfree}"
